0.014142136	0.0999665
0.028284271	0.100135
0.042426407	0.100416
0.056568542	0.100807
0.070710678	0.101311
0.084852814	0.101923
0.098994949	0.102647
0.113137085	0.103482
0.127279221	0.104401
0.141421356	0.105426
0.155563492	0.106561
0.169705627	0.107807
0.183847763	0.109165
0.197989899	0.110626
0.212132034	0.112156
0.22627417	0.113799
0.240416306	0.115558
0.254558441	0.117416
0.268700577	0.119334
0.282842712	0.121371
0.296984848	0.123525
0.311126984	0.12572
0.325269119	0.128028
0.339411255	0.130457
0.353553391	0.132909
0.367695526	0.135487
0.381837662	0.138143
0.395979797	0.140861
0.410121933	0.143704
0.424264069	0.146558
0.438406204	0.149537
0.45254834	0.152554
0.466690476	0.155663
0.480832611	0.158828
0.494974747	0.162061
0.509116882	0.165357
0.523259018	0.168709
0.537401154	0.17212
0.551543289	0.175585
0.565685425	0.179098
0.579827561	0.182671
0.593969696	0.18627
0.608111832	0.189946
0.622253967	0.193618
0.636396103	0.197388
0.650538239	0.201125
0.664680374	0.204947
0.67882251	0.208772
0.692964646	0.212635
0.707106781	0.216542
0.721248917	0.220437
0.735391052	0.224404
0.749533188	0.228336
0.763675324	0.232318
0.777817459	0.236316
0.791959595	0.240305
0.806101731	0.244353
0.820243866	0.248352
0.834386002	0.252394
0.848528137	0.256444
0.862670273	0.260474
0.876812409	0.264553
0.890954544	0.268581
0.90509668	0.272639
0.919238816	0.276704
0.933380951	0.280735
0.947523087	0.284807
0.961665222	0.288832
0.975807358	0.292871
0.989949494	0.296919
1.004091629	0.300923
1.018233765	0.304962
1.032375901	0.308954
1.046518036	0.312953
1.060660172	0.316957
1.074802307	0.320915
1.088944443	0.324906
1.103086579	0.328841
1.117228714	0.332789
1.13137085	0.336729
1.145512986	0.340632
1.159655121	0.344569
1.173797257	0.348432
1.187939392	0.352324
1.202081528	0.356186
1.216223664	0.360035
1.230365799	0.363893
1.244507935	0.367699
1.258650071	0.37154
1.272792206	0.375317
1.286934342	0.379118
1.301076477	0.38289
1.315218613	0.386652
1.329360749	0.390418
1.343502884	0.394143
1.35764502	0.397902
1.371787156	0.401592
1.385929291	0.40532
1.400071427	0.409001
1.414213562	0.412697
1.428355698	0.416373
1.442497834	0.420038
1.456639969	0.423709
1.470782105	0.427346
1.48492424	0.431011
1.499066376	0.434622
1.513208512	0.438275
1.527350647	0.441865
1.541492783	0.445492
1.555634919	0.449077
1.569777054	0.45268
1.58391919	0.456259
1.598061325	0.459837
1.612203461	0.463409
1.626345597	0.466965
1.640487732	0.470529
1.654629868	0.474061
1.668772004	0.477617
1.682914139	0.481128
1.697056275	0.484676
1.71119841	0.488166
1.725340546	0.491702
1.739482682	0.495175
1.753624817	0.498691
1.767766953	0.502156
1.781909089	0.505653
1.796051224	0.509109
1.81019336	0.512587
1.824335495	0.516033
1.838477631	0.519494
1.852619767	0.522931
1.866761902	0.526374
1.880904038	0.529798
1.895046174	0.533224
1.909188309	0.536637
1.923330445	0.540047
1.93747258	0.543447
1.951614716	0.546839
1.965756852	0.550226
1.979898987	0.553602
1.994041123	0.556976
2.008183259	0.560336
2.022325394	0.563692
2.03646753	0.567036
2.050609665	0.57038
2.064751801	0.573709
2.078893937	0.577035
2.093036072	0.580346
2.107178208	0.583652
2.121320344	0.586949
2.135462479	0.590238
2.149604615	0.593519
2.16374675	0.596786
2.177888886	0.600049
2.192031022	0.603293
2.206173157	0.606541
2.220315293	0.609764
2.234457429	0.612992
2.248599564	0.616188
2.2627417	0.619402
2.276883835	0.622573
2.291025971	0.625769
2.305168107	0.62891
2.319310242	0.632088
2.333452378	0.635203
2.347594514	0.638354
2.361736649	0.641455
2.375878785	0.64458
2.39002092	0.647674
2.404163056	0.65078
2.418305192	0.653873
2.432447327	0.656968
2.446589463	0.660074
2.460731599	0.663171
2.474873734	0.6663
2.48901587	0.669409
2.503158005	0.672569
