"Points:0","Points:1","Points:2"
0.45333335,1.2063428,0
0.45333335,1.2063428,1
0.45168954,1.2066667,1
0.45168954,1.2066667,0
0.46000001,1.2052089,1
0.46000001,1.2052089,0
0.46666667,1.2042129,1
0.46666667,1.2042129,0
0.47333333,1.2033705,1
0.47333333,1.2033705,0
0.47999999,1.20269,1
0.47999999,1.20269,0
0.48666668,1.2021841,1
0.48666668,1.2021841,0
0.49333334,1.2018691,1
0.49333334,1.2018691,0
0.5,1.2017617,1
0.5,1.2017617,0
0.50666666,1.2018691,1
0.50666666,1.2018691,0
0.51333332,1.2021841,1
0.51333332,1.2021841,0
0.51999998,1.20269,1
0.51999998,1.20269,0
0.52666664,1.2033705,1
0.52666664,1.2033705,0
0.53333336,1.2042129,1
0.53333336,1.2042129,0
0.54000002,1.2052089,1
0.54000002,1.2052089,0
0.54666668,1.2063428,1
0.54666668,1.2063428,0
0.54831052,1.2066667,0
0.54831052,1.2066667,1
0.42666668,1.2122656,0
0.42666668,1.2122656,1
0.42278475,1.2133334,1
0.42278475,1.2133334,0
0.43333334,1.2105923,1
0.43333334,1.2105923,0
0.44,1.2090441,1
0.44,1.2090441,0
0.44666666,1.2076346,1
0.44666666,1.2076346,0
0.55333334,1.2076346,1
0.55333334,1.2076346,0
0.56,1.2090441,1
0.56,1.2090441,0
0.56666666,1.2105923,1
0.56666666,1.2105923,0
0.57333332,1.2122656,1
0.57333332,1.2122656,0
0.57721525,1.2133334,0
0.57721525,1.2133334,1
0.40666667,1.2181,0
0.40666667,1.2181,1
0.40094122,1.22,1
0.40094122,1.22,0
0.41333333,1.2160279,1
0.41333333,1.2160279,0
0.41999999,1.2141099,1
0.41999999,1.2141099,0
0.57999998,1.2141099,1
0.57999998,1.2141099,0
0.58666664,1.2160279,1
0.58666664,1.2160279,0
0.5933333,1.2181,1
0.5933333,1.2181,0
0.59905881,1.22,0
0.59905881,1.22,1
0.38666666,1.2250943,0
0.38666666,1.2250943,1
0.38271493,1.2266667,1
0.38271493,1.2266667,0
0.39333335,1.2226441,1
0.39333335,1.2226441,0
0.40000001,1.220333,1
0.40000001,1.220333,0
0.60000002,1.220333,1
0.60000002,1.220333,0
0.60666668,1.2226441,1
0.60666668,1.2226441,0
0.61333334,1.2250943,1
0.61333334,1.2250943,0
0.61728507,1.2266667,0
0.61728507,1.2266667,1
0.37333333,1.2304732,0
0.37333333,1.2304732,1
0.36674517,1.2333333,1
0.36674517,1.2333333,0
0.38,1.2277696,1
0.38,1.2277696,0
0.62,1.2277696,1
0.62,1.2277696,0
0.62666667,1.2304732,1
0.62666667,1.2304732,0
0.63325483,1.2333333,0
0.63325483,1.2333333,1
0.35333332,1.2395405,0
0.35333332,1.2395405,1
0.35250092,1.24,1
0.35250092,1.24,0
0.36000001,1.2363992,1
0.36000001,1.2363992,0
0.36666667,1.2333716,1
0.36666667,1.2333716,0
0.63333333,1.2333716,1
0.63333333,1.2333716,0
0.63999999,1.2363992,1
0.63999999,1.2363992,0
0.64666665,1.2395405,1
0.64666665,1.2395405,0
0.64749908,1.24,0
0.64749908,1.24,1
0.34,1.2463745,0
0.34,1.2463745,1
0.3395265,1.2466667,1
0.3395265,1.2466667,0
0.34666666,1.2429252,1
0.34666666,1.2429252,0
0.65333331,1.2429252,1
0.65333331,1.2429252,0
0.66000003,1.2463745,1
0.66000003,1.2463745,0
0.66047353,1.2466667,0
0.66047353,1.2466667,1
0.33333334,1.2500576,0
0.33333334,1.2500576,1
0.32761753,1.2533333,1
0.32761753,1.2533333,0
0.66666669,1.2500576,1
0.66666669,1.2500576,0
0.67238247,1.2533333,0
0.67238247,1.2533333,1
0.31999999,1.2577891,0
0.31999999,1.2577891,1
0.31658843,1.26,1
0.31658843,1.26,0
0.32666665,1.2539423,1
0.32666665,1.2539423,0
0.67333335,1.2539423,1
0.67333335,1.2539423,0
0.68000001,1.2577891,1
0.68000001,1.2577891,0
0.6834116,1.26,0
0.6834116,1.26,1
0.30666667,1.266333,0
0.30666667,1.266333,1
0.30622217,1.2666667,1
0.30622217,1.2666667,0
0.31333333,1.2621239,1
0.31333333,1.2621239,0
0.68666667,1.2621239,1
0.68666667,1.2621239,0
0.69333333,1.266333,1
0.69333333,1.266333,0
0.6937778,1.2666667,0
0.6937778,1.2666667,1
0.30000001,1.2708305,0
0.30000001,1.2708305,1
0.29661316,1.2733333,1
0.29661316,1.2733333,0
0.69999999,1.2708305,1
0.69999999,1.2708305,0
0.70338684,1.2733333,0
0.70338684,1.2733333,1
0.29333332,1.2757765,0
0.29333332,1.2757765,1
0.28755248,1.28,1
0.28755248,1.28,0
0.70666665,1.2757765,1
0.70666665,1.2757765,0
0.71244746,1.28,0
0.71244746,1.28,1
0.28,1.2856431,0
0.28,1.2856431,1
0.27879521,1.2866666,1
0.27879521,1.2866666,0
0.28666666,1.2807195,1
0.28666666,1.2807195,0
0.71333331,1.2807195,1
0.71333331,1.2807195,0
0.72000003,1.2856431,1
0.72000003,1.2856431,0
0.72120482,1.2866666,0
0.72120482,1.2866666,1
0.27333334,1.2910335,0
0.27333334,1.2910335,1
0.27068537,1.2933333,1
0.27068537,1.2933333,0
0.72666669,1.2910335,1
0.72666669,1.2910335,0
0.72931463,1.2933333,0
0.72931463,1.2933333,1
0.26666668,1.296795,0
0.26666668,1.296795,1
0.26307636,1.3,1
0.26307636,1.3,0
0.73333335,1.296795,1
0.73333335,1.296795,0
0.73692364,1.3,0
0.73692364,1.3,1
0.25999999,1.3027978,0
0.25999999,1.3027978,1
0.25581264,1.3066666,1
