"Points:0","Points:1","Points:2"
0.46000001,0.84585935,0
0.46000001,0.84585935,1
0.45532033,0.84666669,1
0.45532033,0.84666669,0
0.46666667,0.84486884,1
0.46666667,0.84486884,0
0.47333333,0.84403604,1
0.47333333,0.84403604,0
0.47999999,0.84336942,1
0.47999999,0.84336942,0
0.48666668,0.84287816,1
0.48666668,0.84287816,0
0.49333334,0.84257519,1
0.49333334,0.84257519,0
0.5,0.84247267,1
0.5,0.84247267,0
0.50666666,0.84257519,1
0.50666666,0.84257519,0
0.51333332,0.84287816,1
0.51333332,0.84287816,0
0.51999998,0.84336942,1
0.51999998,0.84336942,0
0.52666664,0.84403604,1
0.52666664,0.84403604,0
0.53333336,0.84486884,1
0.53333336,0.84486884,0
0.54000002,0.84585935,1
0.54000002,0.84585935,0
0.5446797,0.84666669,0
0.5446797,0.84666669,1
0.42666668,0.8530677,0
0.42666668,0.8530677,1
0.42577407,0.85333335,1
0.42577407,0.85333335,0
0.43333334,0.85133874,1
0.43333334,0.85133874,0
0.44,0.84974569,1
0.44,0.84974569,0
0.44666666,0.84830314,1
0.44666666,0.84830314,0
0.45333335,0.84701657,1
0.45333335,0.84701657,0
0.54666668,0.84701657,1
0.54666668,0.84701657,0
0.55333334,0.84830314,1
0.55333334,0.84830314,0
0.56,0.84974569,1
0.56,0.84974569,0
0.56666666,0.85133874,1
0.56666666,0.85133874,0
0.57333332,0.8530677,1
0.57333332,0.8530677,0
0.57422596,0.85333335,0
0.57422596,0.85333335,1
0.40666667,0.85914719,0
0.40666667,0.85914719,1
0.40431106,0.86000001,1
0.40431106,0.86000001,0
0.41333333,0.85699207,1
0.41333333,0.85699207,0
0.41999999,0.85496706,1
0.41999999,0.85496706,0
0.57999998,0.85496706,1
0.57999998,0.85496706,0
0.58666664,0.85699207,1
0.58666664,0.85699207,0
0.5933333,0.85914719,1
0.5933333,0.85914719,0
0.59568894,0.86000001,0
0.59568894,0.86000001,1
0.38666666,0.8666169,0
0.38666666,0.8666169,1
0.3865594,0.86666667,1
0.3865594,0.86666667,0
0.39333335,0.86398244,1
0.39333335,0.86398244,0
0.40000001,0.86152411,1
0.40000001,0.86152411,0
0.60000002,0.86152411,1
0.60000002,0.86152411,0
0.60666668,0.86398244,1
0.60666668,0.86398244,0
0.61333334,0.8666169,1
0.61333334,0.8666169,0
0.61344063,0.86666667,0
0.61344063,0.86666667,1
0.37333333,0.87230605,0
0.37333333,0.87230605,1
0.37125197,0.87333333,1
0.37125197,0.87333333,0
0.38,0.86940938,1
0.38,0.86940938,0
0.62,0.86940938,1
0.62,0.86940938,0
0.62666667,0.87230605,1
0.62666667,0.87230605,0
0.628748,0.87333333,0
0.628748,0.87333333,1
0.36000001,0.8786881,0
0.36000001,0.8786881,1
0.35759801,0.88,1
0.35759801,0.88,0
0.36666667,0.87550163,1
0.36666667,0.87550163,0
0.63333333,0.87550163,1
0.63333333,0.87550163,0
0.63999999,0.8786881,1
0.63999999,0.8786881,0
0.64240199,0.88,0
0.64240199,0.88,1
0.34666666,0.88576156,0
0.34666666,0.88576156,1
0.34521914,0.88666666,1
0.34521914,0.88666666,0
0.35333332,0.88224965,1
0.35333332,0.88224965,0
0.64666665,0.88224965,1
0.64666665,0.88224965,0
0.65333331,0.88576156,1
0.65333331,0.88576156,0
0.65478086,0.88666666,0
0.65478086,0.88666666,1
0.34,0.88967568,0
0.34,0.88967568,1
0.33387759,0.89333332,1
0.33387759,0.89333332,0
0.66000003,0.88967568,1
0.66000003,0.88967568,0
0.66612244,0.89333332,0
0.66612244,0.89333332,1
0.32666665,0.89776707,0
0.32666665,0.89776707,1
0.32342872,0.89999998,1
0.32342872,0.89999998,0
0.33333334,0.89370412,1
0.33333334,0.89370412,0
0.66666669,0.89370412,1
0.66666669,0.89370412,0
0.67333335,0.89776707,1
0.67333335,0.89776707,0
0.67657131,0.89999998,0
0.67657131,0.89999998,1
0.31999999,0.90236223,0
0.31999999,0.90236223,1
0.31366715,0.9066667,1
0.31366715,0.9066667,0
0.68000001,0.90236223,1
0.68000001,0.90236223,0
0.68633288,0.9066667,0
0.68633288,0.9066667,1
0.30666667,0.91158247,0
0.30666667,0.91158247,1
0.30448234,0.91333336,1
0.30448234,0.91333336,0
0.31333333,0.90692604,1
0.31333333,0.90692604,0
0.68666667,0.90692604,1
0.68666667,0.90692604,0
0.69333333,0.91158247,1
0.69333333,0.91158247,0
0.69551766,0.91333336,0
