"Points:0","Points:1","Points:2"
0,0.49511501,1
0.015625,0.49513856,1
0,0.49511501,0
0.015625,0.49513856,0
0.03125,0.49520963,1
0.03125,0.49520963,0
0.046875,0.4953264,1
0.046875,0.4953264,0
0.0625,0.49548835,1
0.0625,0.49548835,0
0.078125,0.4956921,1
0.078125,0.4956921,0
0.09375,0.49593663,1
0.09375,0.49593663,0
0.109375,0.49621734,1
0.109375,0.49621734,0
0.125,0.49653324,1
0.125,0.49653324,0
0.140625,0.49687919,1
0.140625,0.49687919,0
0.15625,0.49725488,1
0.15625,0.49725488,0
0.171875,0.49765542,1
0.171875,0.49765542,0
0.1875,0.49808136,1
0.1875,0.49808136,0
0.203125,0.49852854,1
0.203125,0.49852854,0
0.21875,0.49899817,1
0.21875,0.49899817,0
0.234375,0.4994888,1
0.234375,0.4994888,0
0.24999915,0.5,0
0.24999915,0.5,1
0.765625,0.4994888,0
0.75000083,0.5,1
0.765625,0.4994888,1
0.75000083,0.5,0
0.78125,0.49899817,1
0.78125,0.49899817,0
0.796875,0.49852854,1
0.796875,0.49852854,0
0.8125,0.49808136,1
0.8125,0.49808136,0
0.828125,0.49765542,1
0.828125,0.49765542,0
0.84375,0.49725488,1
0.84375,0.49725488,0
0.859375,0.49687919,1
0.859375,0.49687919,0
0.875,0.49653324,1
0.875,0.49653324,0
0.890625,0.49621734,1
0.890625,0.49621734,0
0.90625,0.49593663,1
0.90625,0.49593663,0
0.921875,0.4956921,1
0.921875,0.4956921,0
0.9375,0.49548835,1
0.9375,0.49548835,0
0.953125,0.4953264,1
0.953125,0.4953264,0
0.96875,0.49520963,1
0.96875,0.49520963,0
0.984375,0.49513856,1
0.984375,0.49513856,0
1,0.49511501,1
1,0.49511501,0
0.25,0.5,1
0.25,0.5,0
0.265625,0.50051123,1
0.265625,0.50051123,0
0.28125,0.50100189,1
0.28125,0.50100189,0
0.296875,0.50147152,1
0.296875,0.50147152,0
0.3125,0.50191867,1
0.3125,0.50191867,0
0.328125,0.50234461,1
0.328125,0.50234461,0
0.34375,0.50274515,1
0.34375,0.50274515,0
0.359375,0.50312084,1
0.359375,0.50312084,0
0.375,0.50346673,1
0.375,0.50346673,0
0.390625,0.50378263,1
0.390625,0.50378263,0
0.40625,0.50406337,1
0.40625,0.50406337,0
0.421875,0.50430787,1
0.421875,0.50430787,0
0.4375,0.50451165,1
0.4375,0.50451165,0
0.453125,0.50467354,1
0.453125,0.50467354,0
0.46875,0.50479031,1
0.46875,0.50479031,0
0.484375,0.50486141,1
0.484375,0.50486141,0
0.5,0.5048849,1
0.5,0.5048849,0
0.515625,0.50486141,1
0.515625,0.50486141,0
0.53125,0.50479031,1
0.53125,0.50479031,0
0.546875,0.50467354,1
0.546875,0.50467354,0
0.5625,0.50451165,1
0.5625,0.50451165,0
0.578125,0.50430787,1
0.578125,0.50430787,0
0.59375,0.50406337,1
0.59375,0.50406337,0
0.609375,0.50378263,1
0.609375,0.50378263,0
0.625,0.50346673,1
0.625,0.50346673,0
0.640625,0.50312084,1
0.640625,0.50312084,0
0.65625,0.50274515,1
0.65625,0.50274515,0
0.671875,0.50234461,1
0.671875,0.50234461,0
0.6875,0.50191867,1
0.6875,0.50191867,0
0.703125,0.50147152,1
0.703125,0.50147152,0
0.71875,0.50100189,1
0.71875,0.50100189,0
0.734375,0.50051123,1
0.734375,0.50051123,0
0.75,0.5,1
0.75,0.5,0
