"Points:0","Points:1","Points:2"
0,0.49840879,1
0.015625,0.49841639,1
0,0.49840879,0
0.015625,0.49841639,0
0.03125,0.49843913,1
0.03125,0.49843913,0
0.046875,0.49847674,1
0.046875,0.49847674,0
0.0625,0.4985289,1
0.0625,0.4985289,0
0.078125,0.49859506,1
0.078125,0.49859506,0
0.09375,0.49867454,1
0.09375,0.49867454,0
0.109375,0.49876663,1
0.109375,0.49876663,0
0.125,0.49887046,1
0.125,0.49887046,0
0.140625,0.49898508,1
0.140625,0.49898508,0
0.15625,0.49910948,1
0.15625,0.49910948,0
0.171875,0.4992426,1
0.171875,0.4992426,0
0.1875,0.49938333,1
0.1875,0.49938333,0
0.203125,0.49953055,1
0.203125,0.49953055,0
0.21875,0.49968317,1
0.21875,0.49968317,0
0.234375,0.49984005,1
0.234375,0.49984005,0
0.25,0.5,1
0.25,0.5,0
0.25000072,0.5,0
0.25000072,0.5,1
0.75,0.5,0
0.74999928,0.5,1
0.75,0.5,1
0.74999928,0.5,0
0.765625,0.49984005,1
0.765625,0.49984005,0
0.78125,0.49968317,1
0.78125,0.49968317,0
0.796875,0.49953055,1
0.796875,0.49953055,0
0.8125,0.49938333,1
0.8125,0.49938333,0
0.828125,0.4992426,1
0.828125,0.4992426,0
0.84375,0.49910948,1
0.84375,0.49910948,0
0.859375,0.49898508,1
0.859375,0.49898508,0
0.875,0.49887046,1
0.875,0.49887046,0
0.890625,0.49876663,1
0.890625,0.49876663,0
0.90625,0.49867454,1
0.90625,0.49867454,0
0.921875,0.49859506,1
0.921875,0.49859506,0
0.9375,0.4985289,1
0.9375,0.4985289,0
0.953125,0.49847674,1
0.953125,0.49847674,0
0.96875,0.49843913,1
0.96875,0.49843913,0
0.984375,0.49841639,1
0.984375,0.49841639,0
1,0.49840879,1
1,0.49840879,0
0.265625,0.50015992,1
0.265625,0.50015992,0
0.28125,0.5003168,1
0.28125,0.5003168,0
0.296875,0.50046945,1
0.296875,0.50046945,0
0.3125,0.50061667,1
0.3125,0.50061667,0
0.328125,0.5007574,1
0.328125,0.5007574,0
0.34375,0.50089049,1
0.34375,0.50089049,0
0.359375,0.50101495,1
0.359375,0.50101495,0
0.375,0.50112957,1
0.375,0.50112957,0
0.390625,0.50123334,1
0.390625,0.50123334,0
0.40625,0.50132543,1
0.40625,0.50132543,0
0.421875,0.50140494,1
0.421875,0.50140494,0
0.4375,0.5014711,1
0.4375,0.5014711,0
0.453125,0.50152326,1
0.453125,0.50152326,0
0.46875,0.50156087,1
0.46875,0.50156087,0
0.484375,0.50158364,1
0.484375,0.50158364,0
0.5,0.50159121,1
0.5,0.50159121,0
0.515625,0.50158364,1
0.515625,0.50158364,0
0.53125,0.50156087,1
0.53125,0.50156087,0
0.546875,0.50152326,1
0.546875,0.50152326,0
0.5625,0.5014711,1
0.5625,0.5014711,0
0.578125,0.50140494,1
0.578125,0.50140494,0
0.59375,0.50132543,1
0.59375,0.50132543,0
0.609375,0.50123334,1
0.609375,0.50123334,0
0.625,0.50112957,1
0.625,0.50112957,0
0.640625,0.50101495,1
0.640625,0.50101495,0
0.65625,0.50089049,1
0.65625,0.50089049,0
0.671875,0.5007574,1
0.671875,0.5007574,0
0.6875,0.50061667,1
0.6875,0.50061667,0
0.703125,0.50046945,1
0.703125,0.50046945,0
0.71875,0.5003168,1
0.71875,0.5003168,0
0.734375,0.50015992,1
0.734375,0.50015992,0
