"Points:0","Points:1","Points:2"
0.265625,0.49986494,0
0.25000021,0.5,1
0.265625,0.49986494,1
0.25000021,0.5,0
0.28125,0.4997313,1
0.28125,0.4997313,0
0.296875,0.49960017,1
0.296875,0.49960017,0
0.3125,0.49947295,1
0.3125,0.49947295,0
0.328125,0.49935085,1
0.328125,0.49935085,0
0.34375,0.49923497,1
0.34375,0.49923497,0
0.359375,0.49912649,1
0.359375,0.49912649,0
0.375,0.49902648,1
0.375,0.49902648,0
0.390625,0.49893579,1
0.390625,0.49893579,0
0.40625,0.49885535,1
0.40625,0.49885535,0
0.421875,0.49878594,1
0.421875,0.49878594,0
0.4375,0.49872822,1
0.4375,0.49872822,0
0.453125,0.49868274,1
0.453125,0.49868274,0
0.46875,0.49864992,1
0.46875,0.49864992,0
0.484375,0.49863011,1
0.484375,0.49863011,0
0.5,0.49862349,1
0.5,0.49862349,0
0.515625,0.49863011,1
0.515625,0.49863011,0
0.53125,0.49864992,1
0.53125,0.49864992,0
0.546875,0.49868274,1
0.546875,0.49868274,0
0.5625,0.49872822,1
0.5625,0.49872822,0
0.578125,0.49878594,1
0.578125,0.49878594,0
0.59375,0.49885535,1
0.59375,0.49885535,0
0.609375,0.49893579,1
0.609375,0.49893579,0
0.625,0.49902648,1
0.625,0.49902648,0
0.640625,0.49912649,1
0.640625,0.49912649,0
0.65625,0.49923497,1
0.65625,0.49923497,0
0.671875,0.49935085,1
0.671875,0.49935085,0
0.6875,0.49947298,1
0.6875,0.49947298,0
0.703125,0.49960017,1
0.703125,0.49960017,0
0.71875,0.4997313,1
0.71875,0.4997313,0
0.734375,0.49986494,1
0.734375,0.49986494,0
0.74999958,0.5,0
0.74999958,0.5,1
0,0.50137651,1
0.015625,0.50136989,1
0,0.50137651,0
0.015625,0.50136989,0
0.03125,0.50135005,1
0.03125,0.50135005,0
0.046875,0.50131726,1
0.046875,0.50131726,0
0.0625,0.50127178,1
0.0625,0.50127178,0
0.078125,0.50121403,1
0.078125,0.50121403,0
0.09375,0.50114465,1
0.09375,0.50114465,0
0.109375,0.50106424,1
0.109375,0.50106424,0
0.125,0.50097352,1
0.125,0.50097352,0
0.140625,0.50087351,1
0.140625,0.50087351,0
0.15625,0.50076503,1
0.15625,0.50076503,0
0.171875,0.50064915,1
0.171875,0.50064915,0
0.1875,0.50052702,1
0.1875,0.50052702,0
0.203125,0.50039983,1
0.203125,0.50039983,0
0.21875,0.5002687,1
0.21875,0.5002687,0
0.234375,0.50013506,1
0.234375,0.50013506,0
0.25,0.5,1
0.25,0.5,0
0.75,0.5,1
0.75,0.5,0
0.765625,0.50013506,1
0.765625,0.50013506,0
0.78125,0.5002687,1
0.78125,0.5002687,0
0.796875,0.50039983,1
0.796875,0.50039983,0
0.8125,0.50052702,1
0.8125,0.50052702,0
0.828125,0.50064915,1
0.828125,0.50064915,0
0.84375,0.50076503,1
0.84375,0.50076503,0
0.859375,0.50087351,1
0.859375,0.50087351,0
0.875,0.50097352,1
0.875,0.50097352,0
0.890625,0.50106424,1
0.890625,0.50106424,0
0.90625,0.50114465,1
0.90625,0.50114465,0
0.921875,0.50121403,1
0.921875,0.50121403,0
0.9375,0.50127178,1
0.9375,0.50127178,0
0.953125,0.50131726,1
0.953125,0.50131726,0
0.96875,0.50135005,1
0.96875,0.50135005,0
0.984375,0.50136989,1
0.984375,0.50136989,0
1,0.50137651,1
1,0.50137651,0
