"Points:0","Points:1","Points:2"
0.265625,0.4999598,0
0.25,0.5,1
0.265625,0.4999598,1
0.25,0.5,0
0.28125,0.49991998,1
0.28125,0.49991998,0
0.296875,0.49988094,1
0.296875,0.49988094,0
0.3125,0.49984306,1
0.3125,0.49984306,0
0.328125,0.49980667,1
0.328125,0.49980667,0
0.34375,0.49977216,1
0.34375,0.49977216,0
0.359375,0.49973986,1
0.359375,0.49973986,0
0.375,0.49971005,1
0.375,0.49971005,0
0.390625,0.49968302,1
0.390625,0.49968302,0
0.40625,0.49965906,1
0.40625,0.49965906,0
0.421875,0.49963838,1
0.421875,0.49963838,0
0.4375,0.49962118,1
0.4375,0.49962118,0
0.453125,0.49960762,1
0.453125,0.49960762,0
0.46875,0.49959788,1
0.46875,0.49959788,0
0.484375,0.49959198,1
0.484375,0.49959198,0
0.5,0.49958998,1
0.5,0.49958998,0
0.515625,0.49959198,1
0.515625,0.49959198,0
0.53125,0.49959788,1
0.53125,0.49959788,0
0.546875,0.49960762,1
0.546875,0.49960762,0
0.5625,0.49962118,1
0.5625,0.49962118,0
0.578125,0.49963838,1
0.578125,0.49963838,0
0.59375,0.49965906,1
0.59375,0.49965906,0
0.609375,0.49968302,1
0.609375,0.49968302,0
0.625,0.49971005,1
0.625,0.49971005,0
0.640625,0.49973986,1
0.640625,0.49973986,0
0.65625,0.49977216,1
0.65625,0.49977216,0
0.671875,0.49980667,1
0.671875,0.49980667,0
0.6875,0.49984306,1
0.6875,0.49984306,0
0.703125,0.49988094,1
0.703125,0.49988094,0
0.71875,0.49991998,1
0.71875,0.49991998,0
0.734375,0.4999598,1
0.734375,0.4999598,0
0.75,0.5,1
0.75,0.5,0
0.75000036,0.5,0
0.75000036,0.5,1
0,0.50041002,1
0.015625,0.50040805,1
0,0.50041002,0
0.015625,0.50040805,0
0.03125,0.50040215,1
0.03125,0.50040215,0
0.046875,0.50039238,1
0.046875,0.50039238,0
0.0625,0.50037879,1
0.0625,0.50037879,0
0.078125,0.50036162,1
0.078125,0.50036162,0
0.09375,0.50034094,1
0.09375,0.50034094,0
0.109375,0.50031698,1
0.109375,0.50031698,0
0.125,0.50028998,1
0.125,0.50028998,0
0.140625,0.50026017,1
0.140625,0.50026017,0
0.15625,0.50022781,1
0.15625,0.50022781,0
0.171875,0.5001933,1
0.171875,0.5001933,0
0.1875,0.50015694,1
0.1875,0.50015694,0
0.203125,0.50011903,1
0.203125,0.50011903,0
0.21875,0.50007999,1
0.21875,0.50007999,0
0.234375,0.50004017,1
0.234375,0.50004017,0
0.765625,0.50004017,1
0.765625,0.50004017,0
0.78125,0.50007999,1
0.78125,0.50007999,0
0.796875,0.50011903,1
0.796875,0.50011903,0
0.8125,0.50015694,1
0.8125,0.50015694,0
0.828125,0.5001933,1
0.828125,0.5001933,0
0.84375,0.50022781,1
0.84375,0.50022781,0
0.859375,0.50026017,1
0.859375,0.50026017,0
0.875,0.50028998,1
0.875,0.50028998,0
0.890625,0.50031698,1
0.890625,0.50031698,0
0.90625,0.50034094,1
0.90625,0.50034094,0
0.921875,0.50036162,1
0.921875,0.50036162,0
0.9375,0.50037879,1
0.9375,0.50037879,0
0.953125,0.50039238,1
0.953125,0.50039238,0
0.96875,0.50040215,1
0.96875,0.50040215,0
0.984375,0.50040805,1
0.984375,0.50040805,0
1,0.50041002,1
1,0.50041002,0
