"Points:0","Points:1","Points:2"
0.03333334,1.979423,-0.0008333334
0,1.970993,0
0.03333334,1.979423,0.0008333334
0.05543774,2,-0.001385944
0.05543774,2,0.001385944
0.06666667,2.029598,0.001666667
0.06666667,2.029598,-0.001666667
0.06796876,2.033333,-0.001699219
0.06796876,2.033333,0.001699219
0.06666667,2.037367,-0.001666667
0.06666667,2.037367,0.001666667
0.05549241,2.066667,0.00138731
0.05549241,2.066667,-0.00138731
0.03333334,2.084976,-0.0008333334
0.03333334,2.084976,0.0008333334
0,2.090744,0
0.01703387,2.2,-0.0004258468
0,2.193413,0
0.01703387,2.2,0.0004258468
0.03333334,2.207111,0.0008333334
0.03333334,2.207111,-0.0008333334
0.05805735,2.233333,-0.001451434
0.05805735,2.233333,0.001451434
0.04808237,2.266667,0.001202059
0.04808237,2.266667,-0.001202059
0.03333334,2.277388,-0.0008333334
0.03333334,2.277388,0.0008333334
0,2.284409,0
1.466667,2.463202,-0.03666667
1.449519,2.466667,0.03623797
1.466667,2.463202,0.03666667
1.449519,2.466667,-0.03623797
1.5,2.458076,0.0375
1.5,2.458076,-0.0375
1.533333,2.454566,0.03833333
1.533333,2.454566,-0.03833333
1.566667,2.452752,0.03916667
1.566667,2.452752,-0.03916667
1.6,2.45262,0.04
1.6,2.45262,-0.04
1.633333,2.454074,0.04083333
1.633333,2.454074,-0.04083333
1.666667,2.456931,0.04166667
1.666667,2.456931,-0.04166667
1.7,2.460903,0.0425
1.7,2.460903,-0.0425
1.733333,2.465645,0.04333333
1.733333,2.465645,-0.04333333
1.739529,2.466667,-0.04348822
1.739529,2.466667,0.04348822
1.333333,2.497195,-0.03333334
1.325116,2.5,0.0331279
1.333333,2.497195,0.03333334
1.325116,2.5,-0.0331279
1.366667,2.487174,0.03416667
1.366667,2.487174,-0.03416667
1.4,2.477942,0.035
1.4,2.477942,-0.035
1.433333,2.469959,0.03583333
1.433333,2.469959,-0.03583333
1.766667,2.471037,0.04416667
1.766667,2.471037,-0.04416667
1.8,2.47673,0.045
1.8,2.47673,-0.045
1.833333,2.482468,0.04583333
1.833333,2.482468,-0.04583333
1.866667,2.487951,0.04666667
1.866667,2.487951,-0.04666667
1.9,2.492914,0.0475
1.9,2.492914,-0.0475
1.933333,2.497255,0.04833333
1.933333,2.497255,-0.04833333
1.958364,2.5,-0.0489591
1.958364,2.5,0.0489591
2.3,2.499341,-0.0575
2.286693,2.5,0.05716734
