"Points:0","Points:1","Points:2"
0.03333334,2.219064,-0.0008333334
0,2.210889,0
0.03333334,2.219064,0.0008333334
0.05093073,2.233333,-0.001273268
0.05093073,2.233333,0.001273268
0.06666667,2.262587,0.001666667
0.06666667,2.262587,-0.001666667
0.06844675,2.266667,-0.001711169
0.06844675,2.266667,0.001711169
0.06666667,2.2727,-0.001666667
0.06666667,2.2727,0.001666667
0.05837512,2.3,0.001459378
0.05837512,2.3,-0.001459378
0.03333334,2.324528,-0.0008333334
0.03333334,2.324528,0.0008333334
0.002746901,2.333333,6.867254e-05
0.002746901,2.333333,-6.867254e-05
0,2.334134,0
0.8666667,2.463464,-0.02166667
0.8507469,2.466667,0.02126867
0.8666667,2.463464,0.02166667
0.8507469,2.466667,-0.02126867
0.9,2.461218,0.0225
0.9,2.461218,-0.0225
0.9333333,2.462544,0.02333333
0.9333333,2.462544,-0.02333333
0.9666666,2.466439,0.02416667
0.9666666,2.466439,-0.02416667
0.9679713,2.466667,-0.02419928
0.9679713,2.466667,0.02419928
0.7666667,2.496549,-0.01916667
0.7610595,2.5,0.01902649
0.7666667,2.496549,0.01916667
0.7610595,2.5,-0.01902649
0.8,2.481385,0.02
0.8,2.481385,-0.02
0.8333333,2.470224,0.02083333
0.8333333,2.470224,-0.02083333
1,2.472079,0.025
1,2.472079,-0.025
1.033333,2.478372,0.02583333
1.033333,2.478372,-0.02583333
1.066667,2.484365,0.02666667
1.066667,2.484365,-0.02666667
1.1,2.489541,0.0275
1.1,2.489541,-0.0275
1.133333,2.493659,0.02833333
1.133333,2.493659,-0.02833333
1.166667,2.496663,0.02916667
1.166667,2.496663,-0.02916667
1.2,2.498613,0.03
1.2,2.498613,-0.03
1.233333,2.499638,0.03083333
1.233333,2.499638,-0.03083333
1.266667,2.499914,0.03166667
1.266667,2.499914,-0.03166667
1.3,2.499677,0.0325
1.3,2.499677,-0.0325
1.333333,2.49918,0.03333334
1.333333,2.49918,-0.03333334
1.366667,2.498646,0.03416667
1.366667,2.498646,-0.03416667
1.4,2.498233,0.035
1.4,2.498233,-0.035
1.433333,2.498006,0.03583333
1.433333,2.498006,-0.03583333
1.466667,2.497953,0.03666667
1.466667,2.497953,-0.03666667
1.5,2.498024,0.0375
1.5,2.498024,-0.0375
1.533333,2.498162,0.03833333
1.533333,2.498162,-0.03833333
1.566667,2.498322,0.03916667
1.566667,2.498322,-0.03916667
1.6,2.498476,0.04
1.6,2.498476,-0.04
1.633333,2.498607,0.04083333
1.633333,2.498607,-0.04083333
1.666667,2.498714,0.04166667
1.666667,2.498714,-0.04166667
1.7,2.498799,0.0425
1.7,2.498799,-0.0425
1.733333,2.498869,0.04333333
1.733333,2.498869,-0.04333333
1.766667,2.498928,0.04416667
1.766667,2.498928,-0.04416667
1.8,2.498981,0.045
1.8,2.498981,-0.045
1.833333,2.49903,0.04583333
1.833333,2.49903,-0.04583333
1.866667,2.499076,0.04666667
1.866667,2.499076,-0.04666667
1.9,2.499119,0.0475
1.9,2.499119,-0.0475
1.933333,2.49916,0.04833333
1.933333,2.49916,-0.04833333
1.966667,2.499199,0.04916667
1.966667,2.499199,-0.04916667
2,2.499234,0.05
2,2.499234,-0.05
2.033333,2.499268,0.05083333
2.033333,2.499268,-0.05083333
2.066667,2.499299,0.05166667
2.066667,2.499299,-0.05166667
2.1,2.499327,0.0525
2.1,2.499327,-0.0525
2.133333,2.499354,0.05333333
2.133333,2.499354,-0.05333333
2.166667,2.499379,0.05416667
2.166667,2.499379,-0.05416667
2.2,2.499403,0.055
2.2,2.499403,-0.055
2.233333,2.499425,0.05583333
2.233333,2.499425,-0.05583333
2.266667,2.499446,0.05666667
2.266667,2.499446,-0.05666667
2.3,2.499465,0.0575
2.3,2.499465,-0.0575
2.333333,2.499483,0.05833333
2.333333,2.499483,-0.05833333
2.366667,2.499501,0.05916667
2.366667,2.499501,-0.05916667
2.4,2.499517,0.06
2.4,2.499517,-0.06
2.433333,2.499532,0.06083333
2.433333,2.499532,-0.06083333
2.466667,2.499546,0.06166667
2.466667,2.499546,-0.06166667
2.5,2.49956,0.0625
2.5,2.49956,-0.0625
2.533333,2.499573,0.06333333
2.533333,2.499573,-0.06333333
2.566667,2.499585,0.06416667
2.566667,2.499585,-0.06416667
2.6,2.499596,0.065
2.6,2.499596,-0.065
2.633333,2.499607,0.06583333
2.633333,2.499607,-0.06583333
2.666667,2.499617,0.06666667
2.666667,2.499617,-0.06666667
2.7,2.499627,0.0675
2.7,2.499627,-0.0675
2.733333,2.499636,0.06833334
2.733333,2.499636,-0.06833334
2.766667,2.499645,0.06916667
2.766667,2.499645,-0.06916667
2.8,2.499653,0.07
2.8,2.499653,-0.07
2.833333,2.49966,0.07083333
2.833333,2.49966,-0.07083333
2.866667,2.499668,0.07166667
2.866667,2.499668,-0.07166667
2.9,2.499675,0.0725
2.9,2.499675,-0.0725
2.933333,2.499681,0.07333333
2.933333,2.499681,-0.07333333
2.966667,2.499688,0.07416666
2.966667,2.499688,-0.07416666
3,2.499694,0.075
3,2.499694,-0.075
3.033333,2.499699,0.07583334
3.033333,2.499699,-0.07583334
3.066667,2.499704,0.07666667
3.066667,2.499704,-0.07666667
3.1,2.499709,0.0775
3.1,2.499709,-0.0775
3.133333,2.499714,0.07833333
3.133333,2.499714,-0.07833333
3.166667,2.499719,0.07916667
3.166667,2.499719,-0.07916667
3.2,2.499723,0.08
3.2,2.499723,-0.08
3.233333,2.499727,0.08083333
3.233333,2.499727,-0.08083333
3.266667,2.49973,0.08166666
3.266667,2.49973,-0.08166666
3.3,2.499734,0.0825
3.3,2.499734,-0.0825
3.333333,2.499737,0.08333334
3.333333,2.499737,-0.08333334
3.366667,2.49974,0.08416667
3.366667,2.49974,-0.08416667
3.4,2.499743,0.085
3.4,2.499743,-0.085
3.433333,2.499746,0.08583333
3.433333,2.499746,-0.08583333
3.466667,2.499748,0.08666667
3.466667,2.499748,-0.08666667
3.5,2.49975,0.0875
3.5,2.49975,-0.0875
3.533333,2.499753,0.08833333
3.533333,2.499753,-0.08833333
3.566667,2.499754,0.08916666
3.566667,2.499754,-0.08916666
3.6,2.499756,0.09
3.6,2.499756,-0.09
3.633333,2.499758,0.09083334
3.633333,2.499758,-0.09083334
3.666667,2.499759,0.09166667
3.666667,2.499759,-0.09166667
3.7,2.499761,0.0925
3.7,2.499761,-0.0925
3.733333,2.499762,0.09333333
3.733333,2.499762,-0.09333333
3.766667,2.499763,0.09416667
3.766667,2.499763,-0.09416667
3.8,2.499764,0.095
3.8,2.499764,-0.095
3.833333,2.499765,0.09583333
3.833333,2.499765,-0.09583333
3.866667,2.499766,0.09666666
3.866667,2.499766,-0.09666666
3.9,2.499767,0.0975
3.9,2.499767,-0.0975
3.933333,2.499768,0.09833334
3.933333,2.499768,-0.09833334
3.966667,2.499769,0.09916667
3.966667,2.499769,-0.09916667
4,2.499769,0.1
4,2.499769,-0.1
0.7333333,2.515661,-0.01833333
0.7050189,2.533333,0.01762547
0.7333333,2.515661,0.01833333
0.7050189,2.533333,-0.01762547
0.03333334,2.563609,-0.0008333334
0,2.544509,0
0.03333334,2.563609,0.0008333334
0.03662254,2.566667,-0.0009155634
0.03662254,2.566667,0.0009155634
0.6666667,2.558286,-0.01666667
0.6556691,2.566667,0.01639173
0.6666667,2.558286,0.01666667
0.6556691,2.566667,-0.01639173
0.7,2.536853,0.0175
0.7,2.536853,-0.0175
0.05586265,2.6,0.001396566
0.05586265,2.6,-0.001396566
0.6333333,2.582924,-0.01583333
0.6104189,2.6,0.01526047
0.6333333,2.582924,0.01583333
0.6104189,2.6,-0.01526047
0.03333334,2.62556,-0.0008333334
0.03333334,2.62556,0.0008333334
0,2.631797,0
0.5666667,2.632617,-0.01416667
0.5658157,2.633333,0.01414539
0.5666667,2.632617,0.01416667
0.5658157,2.633333,-0.01414539
0.6,2.608212,0.015
0.6,2.608212,-0.015
0.5333334,2.658324,-0.01333333
0.5236465,2.666667,0.01309116
0.5333334,2.658324,0.01333333
0.5236465,2.666667,-0.01309116
0.5,2.68643,-0.0125
0.4847286,2.7,0.01211822
0.5,2.68643,0.0125
0.4847286,2.7,-0.01211822
0.4666667,2.71647,-0.01166667
0.449295,2.733333,0.01123238
0.4666667,2.71647,0.01166667
0.449295,2.733333,-0.01123238
0.4333333,2.750627,-0.01083333
0.4194826,2.766667,0.01048706
0.4333333,2.750627,0.01083333
0.4194826,2.766667,-0.01048706
0.4,2.796002,-0.01
0.3971886,2.8,0.009929716
0.4,2.796002,0.01
0.3971886,2.8,-0.009929716
0.3826574,2.833333,0.009566435
0.3826574,2.833333,-0.009566435
0.3768628,2.866667,0.009421569
0.3768628,2.866667,-0.009421569
0.3780194,2.9,0.009450485
0.3780194,2.9,-0.009450485
0.3833538,2.933333,0.009583845
0.3833538,2.933333,-0.009583845
0.3914171,2.966667,0.009785426
0.3914171,2.966667,-0.009785426
0.4,2.997409,0.01
