"Points:0","Points:1","Points:2"
0.4333333,2.495703,-0.01083333
0.4269585,2.5,0.01067396
0.4333333,2.495703,0.01083333
0.4269585,2.5,-0.01067396
0.4666667,2.485719,0.01166667
0.4666667,2.485719,-0.01166667
0.5,2.483638,0.0125
0.5,2.483638,-0.0125
0.5333334,2.485436,0.01333333
0.5333334,2.485436,-0.01333333
0.5666667,2.488605,0.01416667
0.5666667,2.488605,-0.01416667
0.6,2.49196,0.015
0.6,2.49196,-0.015
0.6333333,2.494726,0.01583333
0.6333333,2.494726,-0.01583333
0.6666667,2.496657,0.01666667
0.6666667,2.496657,-0.01666667
0.7,2.497821,0.0175
0.7,2.497821,-0.0175
0.7333333,2.498447,0.01833333
0.7333333,2.498447,-0.01833333
0.7666667,2.498755,0.01916667
0.7666667,2.498755,-0.01916667
0.8,2.498918,0.02
0.8,2.498918,-0.02
0.8333333,2.49903,0.02083333
0.8333333,2.49903,-0.02083333
0.8666667,2.499127,0.02166667
0.8666667,2.499127,-0.02166667
0.9,2.499219,0.0225
0.9,2.499219,-0.0225
0.9333333,2.499304,0.02333333
0.9333333,2.499304,-0.02333333
0.9666666,2.499381,0.02416667
0.9666666,2.499381,-0.02416667
1,2.499448,0.025
1,2.499448,-0.025
1.033333,2.499506,0.02583333
1.033333,2.499506,-0.02583333
1.066667,2.499555,0.02666667
1.066667,2.499555,-0.02666667
1.1,2.499598,0.0275
1.1,2.499598,-0.0275
1.133333,2.499635,0.02833333
1.133333,2.499635,-0.02833333
1.166667,2.499667,0.02916667
1.166667,2.499667,-0.02916667
1.2,2.499696,0.03
1.2,2.499696,-0.03
1.233333,2.499721,0.03083333
1.233333,2.499721,-0.03083333
1.266667,2.499743,0.03166667
1.266667,2.499743,-0.03166667
1.3,2.499763,0.0325
1.3,2.499763,-0.0325
1.333333,2.49978,0.03333334
1.333333,2.49978,-0.03333334
1.366667,2.499796,0.03416667
1.366667,2.499796,-0.03416667
1.4,2.49981,0.035
1.4,2.49981,-0.035
1.433333,2.499823,0.03583333
1.433333,2.499823,-0.03583333
1.466667,2.499835,0.03666667
1.466667,2.499835,-0.03666667
1.5,2.499845,0.0375
1.5,2.499845,-0.0375
1.533333,2.499855,0.03833333
1.533333,2.499855,-0.03833333
1.566667,2.499864,0.03916667
1.566667,2.499864,-0.03916667
1.6,2.499871,0.04
1.6,2.499871,-0.04
1.633333,2.499879,0.04083333
1.633333,2.499879,-0.04083333
1.666667,2.499886,0.04166667
1.666667,2.499886,-0.04166667
1.7,2.499892,0.0425
1.7,2.499892,-0.0425
1.733333,2.499897,0.04333333
1.733333,2.499897,-0.04333333
1.766667,2.499903,0.04416667
1.766667,2.499903,-0.04416667
1.8,2.499907,0.045
1.8,2.499907,-0.045
1.833333,2.499912,0.04583333
1.833333,2.499912,-0.04583333
1.866667,2.499916,0.04666667
1.866667,2.499916,-0.04666667
1.9,2.49992,0.0475
1.9,2.49992,-0.0475
1.933333,2.499923,0.04833333
1.933333,2.499923,-0.04833333
1.966667,2.499927,0.04916667
1.966667,2.499927,-0.04916667
2,2.49993,0.05
2,2.49993,-0.05
2.033333,2.499933,0.05083333
2.033333,2.499933,-0.05083333
2.066667,2.499936,0.05166667
2.066667,2.499936,-0.05166667
2.1,2.499938,0.0525
2.1,2.499938,-0.0525
2.133333,2.49994,0.05333333
2.133333,2.49994,-0.05333333
2.166667,2.499943,0.05416667
2.166667,2.499943,-0.05416667
2.2,2.499945,0.055
2.2,2.499945,-0.055
2.233333,2.499947,0.05583333
2.233333,2.499947,-0.05583333
2.266667,2.499949,0.05666667
2.266667,2.499949,-0.05666667
2.3,2.49995,0.0575
2.3,2.49995,-0.0575
2.333333,2.499952,0.05833333
2.333333,2.499952,-0.05833333
2.366667,2.499954,0.05916667
2.366667,2.499954,-0.05916667
2.4,2.499955,0.06
2.4,2.499955,-0.06
2.433333,2.499956,0.06083333
2.433333,2.499956,-0.06083333
2.466667,2.499958,0.06166667
2.466667,2.499958,-0.06166667
2.5,2.499959,0.0625
2.5,2.499959,-0.0625
2.533333,2.49996,0.06333333
2.533333,2.49996,-0.06333333
2.566667,2.499961,0.06416667
2.566667,2.499961,-0.06416667
2.6,2.499962,0.065
2.6,2.499962,-0.065
2.633333,2.499963,0.06583333
2.633333,2.499963,-0.06583333
2.666667,2.499964,0.06666667
2.666667,2.499964,-0.06666667
2.7,2.499965,0.0675
2.7,2.499965,-0.0675
2.733333,2.499966,0.06833334
2.733333,2.499966,-0.06833334
2.766667,2.499967,0.06916667
2.766667,2.499967,-0.06916667
2.8,2.499967,0.07
2.8,2.499967,-0.07
2.833333,2.499968,0.07083333
2.833333,2.499968,-0.07083333
2.866667,2.499969,0.07166667
