"Points:0","Points:1","Points:2"
0.3125,0.49945045,0
0.25002372,0.5,1
0.3125,0.49945045,1
0.25002372,0.5,0
0.375,0.49898618,1
0.375,0.49898618,0
0.4375,0.49867785,1
0.4375,0.49867785,0
0.5,0.49856976,1
0.5,0.49856976,0
0.5625,0.4986777,1
0.5625,0.4986777,0
0.625,0.49898589,1
0.625,0.49898589,0
0.6875,0.49945018,1
0.6875,0.49945018,0
0.75,0.49999997,1
0.75,0.49999997,0
0.75000298,0.5,0
0.75000298,0.5,1
0,0.50143015,1
0.0625,0.50132221,1
0,0.50143015,0
0.0625,0.50132221,0
0.125,0.50101399,1
0.125,0.50101399,0
0.1875,0.50054991,1
0.1875,0.50054991,0
0.25,0.50000024,1
0.25,0.50000024,0
0.8125,0.50054961,1
0.8125,0.50054961,0
0.875,0.50101382,1
0.875,0.50101382,0
0.9375,0.50132215,1
0.9375,0.50132215,0
1,0.50143021,1
1,0.50143021,0
