"Points:0","Points:1","Points:2"
0.3125,0.49899381,0
0.25006381,0.5,1
0.3125,0.49899381,1
0.25006381,0.5,0
0.375,0.49812469,1
0.375,0.49812469,0
0.4375,0.49753886,1
0.4375,0.49753886,0
0.5,0.49733067,1
0.5,0.49733067,0
0.5625,0.49753857,1
0.5625,0.49753857,0
0.625,0.49812439,1
0.625,0.49812439,0
0.6875,0.49899352,1
0.6875,0.49899352,0
0.74995887,0.5,0
0.74995887,0.5,1
0,0.50266927,1
0.0625,0.50246149,1
0,0.50266927,0
0.0625,0.50246149,0
0.125,0.50187486,1
0.125,0.50187486,0
0.1875,0.50100642,1
0.1875,0.50100642,0
0.25,0.50000101,1
0.25,0.50000101,0
0.75,0.50000066,1
0.75,0.50000066,0
0.8125,0.50100607,1
0.8125,0.50100607,0
0.875,0.50187445,1
0.875,0.50187445,0
0.9375,0.50246125,1
0.9375,0.50246125,0
1,0.50266922,1
1,0.50266922,0
