"Points:0","Points:1","Points:2"
0,0.49822977,1
0.0625,0.4983654,1
0,0.49822977,0
0.0625,0.4983654,0
0.125,0.49875498,1
0.125,0.49875498,0
0.1875,0.49932957,1
0.1875,0.49932957,0
0.25,0.49999997,1
0.25,0.49999997,0
0.25000313,0.5,0
0.25000313,0.5,1
0.8125,0.49933001,0
0.75004029,0.5,1
0.8125,0.49933001,1
0.75004029,0.5,0
0.875,0.49875543,1
0.875,0.49875543,0
0.9375,0.49836561,1
0.9375,0.49836561,0
1,0.49822992,1
1,0.49822992,0
0.3125,0.50067037,1
0.3125,0.50067037,0
0.375,0.50124466,1
0.375,0.50124466,0
0.4375,0.501634,1
0.4375,0.501634,0
0.5,0.50176966,1
0.5,0.50176966,0
0.5625,0.50163418,1
0.5625,0.50163418,0
0.625,0.50124502,1
0.625,0.50124502,0
0.6875,0.50067085,1
0.6875,0.50067085,0
0.75,0.50000042,1
0.75,0.50000042,0
