"Points:0","Points:1","Points:2"
0,0.49963427,1
0.0625,0.49966279,1
0,0.49963427,0
0.0625,0.49966279,0
0.125,0.49974152,1
0.125,0.49974152,0
0.1875,0.49986029,1
0.1875,0.49986029,0
0.25,0.49999991,1
0.25,0.49999991,0
0.2500433,0.5,0
0.2500433,0.5,1
0.8125,0.49986055,0
0.75006002,0.5,1
0.8125,0.49986055,1
0.75006002,0.5,0
0.875,0.49974155,1
0.875,0.49974155,0
0.9375,0.49966288,1
0.9375,0.49966288,0
1,0.49963465,1
1,0.49963465,0
0.3125,0.50013971,1
0.3125,0.50013971,0
0.375,0.50025862,1
0.375,0.50025862,0
0.4375,0.500337,1
0.4375,0.500337,0
0.5,0.50036538,1
0.5,0.50036538,0
0.5625,0.50033712,1
0.5625,0.50033712,0
0.625,0.50025845,1
0.625,0.50025845,0
0.6875,0.50013959,1
0.6875,0.50013959,0
0.75,0.50000012,1
0.75,0.50000012,0
