"Points:0","Points:1","Points:2"
0,0.49893543,1
0.03125,0.4989557,1
0,0.49893543,0
0.03125,0.4989557,0
0.0625,0.49901602,1
0.0625,0.49901602,0
0.09375,0.49911401,1
0.09375,0.49911401,0
0.125,0.4992457,1
0.125,0.4992457,0
0.15625,0.49940702,1
0.15625,0.49940702,0
0.1875,0.49959087,1
0.1875,0.49959087,0
0.21875,0.49979118,1
0.21875,0.49979118,0
0.25,0.5,1
0.25,0.5,0
0.25000027,0.5,0
0.25000027,0.5,1
0.75,0.5,0
0.7499997,0.5,1
0.75,0.5,1
0.7499997,0.5,0
0.78125,0.49979118,1
0.78125,0.49979118,0
0.8125,0.49959087,1
0.8125,0.49959087,0
0.84375,0.49940702,1
0.84375,0.49940702,0
0.875,0.4992457,1
0.875,0.4992457,0
0.90625,0.49911401,1
0.90625,0.49911401,0
0.9375,0.49901602,1
0.9375,0.49901602,0
0.96875,0.4989557,1
0.96875,0.4989557,0
1,0.49893543,1
1,0.49893543,0
0.28125,0.5002088,1
0.28125,0.5002088,0
0.3125,0.50040907,1
0.3125,0.50040907,0
0.34375,0.50059295,1
0.34375,0.50059295,0
0.375,0.5007543,1
0.375,0.5007543,0
0.40625,0.50088602,1
0.40625,0.50088602,0
0.4375,0.50098401,1
0.4375,0.50098401,0
0.46875,0.50104439,1
0.46875,0.50104439,0
0.5,0.50106466,1
0.5,0.50106466,0
0.53125,0.50104439,1
0.53125,0.50104439,0
0.5625,0.50098401,1
0.5625,0.50098401,0
0.59375,0.50088602,1
0.59375,0.50088602,0
0.625,0.5007543,1
0.625,0.5007543,0
0.65625,0.50059295,1
0.65625,0.50059295,0
0.6875,0.50040907,1
0.6875,0.50040907,0
0.71875,0.5002088,1
0.71875,0.5002088,0
