"Points:0","Points:1","Points:2"
0,0.49980152,1
0.03125,0.4998053,1
0,0.49980152,0
0.03125,0.4998053,0
0.0625,0.4998166,1
0.0625,0.4998166,0
0.09375,0.49983495,1
0.09375,0.49983495,0
0.125,0.49985963,1
0.125,0.49985963,0
0.15625,0.49988973,1
0.15625,0.49988973,0
0.1875,0.499924,1
0.1875,0.499924,0
0.21875,0.49996129,1
0.21875,0.49996129,0
0.25,0.5,1
0.25,0.5,0
0.25000301,0.5,0
0.25000301,0.5,1
0.75,0.5,0
0.74998951,0.5,1
0.75,0.5,1
0.74998951,0.5,0
0.78125,0.49996126,1
0.78125,0.49996126,0
0.8125,0.499924,1
0.8125,0.499924,0
0.84375,0.49988973,1
0.84375,0.49988973,0
0.875,0.49985963,1
0.875,0.49985963,0
0.90625,0.49983495,1
0.90625,0.49983495,0
0.9375,0.49981663,1
0.9375,0.49981663,0
0.96875,0.4998053,1
0.96875,0.4998053,0
1,0.49980152,1
1,0.49980152,0
0.28125,0.50003868,1
0.28125,0.50003868,0
0.3125,0.500076,1
0.3125,0.500076,0
0.34375,0.50011027,1
0.34375,0.50011027,0
0.375,0.50014037,1
0.375,0.50014037,0
0.40625,0.50016505,1
0.40625,0.50016505,0
0.4375,0.5001834,1
0.4375,0.5001834,0
0.46875,0.50019467,1
0.46875,0.50019467,0
0.5,0.50019848,1
0.5,0.50019848,0
0.53125,0.50019467,1
0.53125,0.50019467,0
0.5625,0.5001834,1
0.5625,0.5001834,0
0.59375,0.50016505,1
0.59375,0.50016505,0
0.625,0.50014037,1
0.625,0.50014037,0
0.65625,0.50011027,1
0.65625,0.50011027,0
0.6875,0.500076,1
0.6875,0.500076,0
0.71875,0.50003874,1
0.71875,0.50003874,0
