"Points:0","Points:1","Points:2"
0.28125,0.49999061,0
0.25001237,0.5,1
0.28125,0.49999061,1
0.25001237,0.5,0
0.3125,0.49998164,1
0.3125,0.49998164,0
0.34375,0.49997336,1
0.34375,0.49997336,0
0.375,0.49996611,1
0.375,0.49996611,0
0.40625,0.49996021,1
0.40625,0.49996021,0
0.4375,0.4999558,1
0.4375,0.4999558,0
0.46875,0.49995309,1
0.46875,0.49995309,0
0.5,0.4999522,1
0.5,0.4999522,0
0.53125,0.49995309,1
0.53125,0.49995309,0
0.5625,0.4999558,1
0.5625,0.4999558,0
0.59375,0.49996021,1
0.59375,0.49996021,0
0.625,0.49996608,1
0.625,0.49996608,0
0.65625,0.49997336,1
0.65625,0.49997336,0
0.6875,0.49998164,1
0.6875,0.49998164,0
0.71875,0.49999058,1
0.71875,0.49999058,0
0.75,0.5,1
0.75,0.5,0
0.7500062,0.5,0
0.7500062,0.5,1
0,0.5000478,1
0.03125,0.50004691,1
0,0.5000478,0
0.03125,0.50004691,0
0.0625,0.50004423,1
0.0625,0.50004423,0
0.09375,0.50003982,1
0.09375,0.50003982,0
0.125,0.50003392,1
0.125,0.50003392,0
0.15625,0.50002664,1
0.15625,0.50002664,0
0.1875,0.50001836,1
0.1875,0.50001836,0
0.21875,0.50000942,1
0.21875,0.50000942,0
0.25,0.5,1
0.25,0.5,0
0.78125,0.50000942,1
0.78125,0.50000942,0
0.8125,0.50001836,1
0.8125,0.50001836,0
0.84375,0.50002664,1
0.84375,0.50002664,0
0.875,0.50003392,1
0.875,0.50003392,0
0.90625,0.50003982,1
0.90625,0.50003982,0
0.9375,0.50004423,1
0.9375,0.50004423,0
0.96875,0.50004691,1
0.96875,0.50004691,0
1,0.5000478,1
1,0.5000478,0
