"Points:0","Points:1","Points:2"
0,0.49978173,1
0.03125,0.49978596,1
0,0.49978173,0
0.03125,0.49978596,0
0.0625,0.49979842,1
0.0625,0.49979842,0
0.09375,0.49981862,1
0.09375,0.49981862,0
0.125,0.49984586,1
0.125,0.49984586,0
0.15625,0.49987894,1
0.15625,0.49987894,0
0.1875,0.49991661,1
0.1875,0.49991661,0
0.21875,0.49995753,1
0.21875,0.49995753,0
0.25,0.5,0
0.25,0.5,1
0.78125,0.49995756,0
0.75000274,0.5,1
0.78125,0.49995756,1
0.75000274,0.5,0
0.8125,0.49991661,1
0.8125,0.49991661,0
0.84375,0.49987894,1
0.84375,0.49987894,0
0.875,0.49984586,1
0.875,0.49984586,0
0.90625,0.49981862,1
0.90625,0.49981862,0
0.9375,0.49979845,1
0.9375,0.49979845,0
0.96875,0.49978596,1
0.96875,0.49978596,0
1,0.49978173,1
1,0.49978173,0
0.28125,0.50004244,1
0.28125,0.50004244,0
0.3125,0.50008339,1
0.3125,0.50008339,0
0.34375,0.50012106,1
0.34375,0.50012106,0
0.375,0.50015414,1
0.375,0.50015414,0
0.40625,0.50018138,1
0.40625,0.50018138,0
0.4375,0.50020158,1
0.4375,0.50020158,0
0.46875,0.50021404,1
0.46875,0.50021404,0
0.5,0.50021827,1
0.5,0.50021827,0
0.53125,0.50021404,1
0.53125,0.50021404,0
0.5625,0.50020158,1
0.5625,0.50020158,0
0.59375,0.50018138,1
0.59375,0.50018138,0
0.625,0.50015414,1
0.625,0.50015414,0
0.65625,0.50012106,1
0.65625,0.50012106,0
0.6875,0.50008339,1
0.6875,0.50008339,0
0.71875,0.50004244,1
0.71875,0.50004244,0
0.75,0.5,1
0.75,0.5,0
