"Points:0","Points:1","Points:2"
0.25,0.49999994,0
0.24958853,0.5,1
0.25,0.49999994,1
0.24958853,0.5,0
0.28125,0.4999947,1
0.28125,0.4999947,0
0.3125,0.49998939,1
0.3125,0.49998939,0
0.34375,0.49998468,1
0.34375,0.49998468,0
0.375,0.49998033,1
0.375,0.49998033,0
0.40625,0.49997678,1
0.40625,0.49997678,0
0.4375,0.49997419,1
0.4375,0.49997419,0
0.46875,0.49997258,1
0.46875,0.49997258,0
0.5,0.49997202,1
0.5,0.49997202,0
0.53125,0.49997258,1
0.53125,0.49997258,0
0.5625,0.49997419,1
0.5625,0.49997419,0
0.59375,0.49997675,1
0.59375,0.49997675,0
0.625,0.49998027,1
0.625,0.49998027,0
0.65625,0.49998462,1
0.65625,0.49998462,0
0.6875,0.49998927,1
0.6875,0.49998927,0
0.71875,0.49999478,1
0.71875,0.49999478,0
0.74884182,0.5,0
0.74884182,0.5,1
0,0.50002789,1
0.03125,0.50002736,1
0,0.50002789,0
0.03125,0.50002736,0
0.0625,0.50002575,1
0.0625,0.50002575,0
0.09375,0.50002319,1
0.09375,0.50002319,0
0.125,0.50001973,1
0.125,0.50001973,0
0.15625,0.50001544,1
0.15625,0.50001544,0
0.1875,0.50001079,1
0.1875,0.50001079,0
0.21875,0.5000053,1
0.21875,0.5000053,0
0.75,0.50000018,1
0.75,0.50000018,0
0.78125,0.50000542,1
0.78125,0.50000542,0
0.8125,0.50001073,1
0.8125,0.50001073,0
0.84375,0.50001538,1
0.84375,0.50001538,0
0.875,0.50001961,1
0.875,0.50001961,0
0.90625,0.50002313,1
0.90625,0.50002313,0
0.9375,0.50002575,1
0.9375,0.50002575,0
0.96875,0.50002736,1
0.96875,0.50002736,0
1,0.50002789,1
1,0.50002789,0
