"Points:0","Points:1","Points:2"
0.28125,0.49981222,0
0.2500031,0.5,1
0.28125,0.49981222,1
0.2500031,0.5,0
0.3125,0.49963179,1
0.3125,0.49963179,0
0.34375,0.49946547,1
0.34375,0.49946547,0
0.375,0.49931976,1
0.375,0.49931976,0
0.40625,0.49920025,1
0.40625,0.49920025,0
0.4375,0.4991115,1
0.4375,0.4991115,0
0.46875,0.49905682,1
0.46875,0.49905682,0
0.5,0.4990384,1
0.5,0.4990384,0
0.53125,0.49905682,1
0.53125,0.49905682,0
0.5625,0.49911147,1
0.5625,0.49911147,0
0.59375,0.49920022,1
0.59375,0.49920022,0
0.625,0.49931973,1
0.625,0.49931973,0
0.65625,0.49946544,1
0.65625,0.49946544,0
0.6875,0.49963176,1
0.6875,0.49963176,0
0.71875,0.49981219,1
0.71875,0.49981219,0
0.75,0.5,1
0.75,0.5,0
0.75000125,0.5,0
0.75000125,0.5,1
0,0.5009616,1
0.03125,0.50094318,1
0,0.5009616,0
0.03125,0.50094318,0
0.0625,0.50088853,1
0.0625,0.50088853,0
0.09375,0.50079978,1
0.09375,0.50079978,0
0.125,0.50068027,1
0.125,0.50068027,0
0.15625,0.50053453,1
0.15625,0.50053453,0
0.1875,0.50036824,1
0.1875,0.50036824,0
0.21875,0.50018781,1
0.21875,0.50018781,0
0.25,0.5,1
0.25,0.5,0
0.78125,0.50018781,1
0.78125,0.50018781,0
0.8125,0.50036824,1
0.8125,0.50036824,0
0.84375,0.50053453,1
0.84375,0.50053453,0
0.875,0.50068021,1
0.875,0.50068021,0
0.90625,0.50079978,1
0.90625,0.50079978,0
0.9375,0.50088853,1
0.9375,0.50088853,0
0.96875,0.50094318,1
0.96875,0.50094318,0
1,0.5009616,1
1,0.5009616,0
