"Points:0","Points:1","Points:2"
0,0.49979925,1
0.03125,0.49980304,1
0,0.49979925,0
0.03125,0.49980304,0
0.0625,0.49981445,1
0.0625,0.49981445,0
0.09375,0.49983299,1
0.09375,0.49983299,0
0.125,0.49985787,1
0.125,0.49985787,0
0.15625,0.49988836,1
0.15625,0.49988836,0
0.1875,0.49992302,1
0.1875,0.49992302,0
0.21875,0.49996072,1
0.21875,0.49996072,0
0.24999703,0.5,0
0.24999703,0.5,1
0.78125,0.49996072,0
0.75000298,0.5,1
0.78125,0.49996072,1
0.75000298,0.5,0
0.8125,0.49992302,1
0.8125,0.49992302,0
0.84375,0.49988836,1
0.84375,0.49988836,0
0.875,0.49985787,1
0.875,0.49985787,0
0.90625,0.49983299,1
0.90625,0.49983299,0
0.9375,0.49981445,1
0.9375,0.49981445,0
0.96875,0.49980304,1
0.96875,0.49980304,0
1,0.49979925,1
1,0.49979925,0
0.25,0.5,1
0.25,0.5,0
0.28125,0.50003928,1
0.28125,0.50003928,0
0.3125,0.50007695,1
0.3125,0.50007695,0
0.34375,0.50011164,1
0.34375,0.50011164,0
0.375,0.50014216,1
0.375,0.50014216,0
0.40625,0.50016701,1
0.40625,0.50016701,0
0.4375,0.50018555,1
0.4375,0.50018555,0
0.46875,0.50019693,1
0.46875,0.50019693,0
0.5,0.50020075,1
0.5,0.50020075,0
0.53125,0.50019693,1
0.53125,0.50019693,0
0.5625,0.50018555,1
0.5625,0.50018555,0
0.59375,0.50016701,1
0.59375,0.50016701,0
0.625,0.50014216,1
0.625,0.50014216,0
0.65625,0.50011164,1
0.65625,0.50011164,0
0.6875,0.50007695,1
0.6875,0.50007695,0
0.71875,0.50003928,1
0.71875,0.50003928,0
0.75,0.5,1
0.75,0.5,0
